source_type,headline,related_tic,sentiment,impact_sec,impact_str,source_url
해외,"포드와 닛산, 배터리 공장 공동 사용 계획","F, NSANY",1,2차전지,3,https://jp.wsj.com/articles/in-latest-ev-pullback-ford-to-share-battery-plant-with-nissan-79e52adc
해외,엔비디아 CEO의 지경학적 영향력 확대,"NVDA, KOSPI",1,반도체,3,https://jp.wsj.com/articles/nvidias-jensen-huang-is-now-a-geopolitical-superstar-it-comes-with-risks-b377d764
해외,시리아 정권 붕괴 우려,"OIL, KOSPI",-1,시장 심리,3,https://jp.wsj.com/articles/u-s-eased-syria-sanctions-over-fears-of-imminent-collapse-rubio-says-d059b7de
해외,미국 고급차 수입 감소 우려,"TSLA, GM, KOSPI",-1,자동차,2,https://jp.wsj.com/articles/americas-love-affair-with-posh-british-cars-is-under-threat-despite-trade-deal-743ef5ac
해외,미국 신용등급 하락,"US10Y, KOSPI",-1,전 업종,4,https://japanese.joins.com
국내,K-푸드 수출 호조로 식품주 강세,"CJ, SAMYANG, KOSPI",1,소비재,2,https://www.mk.co.kr/jp/stock/11042939
국내,암호화폐 투자자 급증,"KODEX블록체인, KOSPI",1,암호화폐,2,https://japanese.joins.com/JArticle/334004
국내,코스피 상승 출발,KOSPI,1,전 업종,3,https://news.livedoor.com/article/detail/28794024/
국내,미국 기술주 약세 영향,"KOSPI, 삼성전자",-1,IT,3,https://fnnews.jp/archives/2660
국내,상장 규제 강화 계획,KOSPI,1,시장 구조,2,https://jp.reuters.com/markets/japan/funds/H7CIV32YCVKCFKXSVMMUVLIDFE-2025-01-21/
